[26.001249040876118, 368.85397774832586, 370.25724138532365, 371.5378897530692, 372.8253500802176, 374.10599844796315, 375.3662109375, 376.6264234270368]
[381.7967006138393, 503.1108856201172, 440.33867972237726, 462.87945338657926, 495.1340811593192, 476.9325256347656, 455.2773066929408, 499.02370997837613]
[170.5442156110491, 172.88071768624442, 150.367191859654, 95.14944893973214, 154.4884272984096, 69.97244698660714, 141.5729522705078, 132.0021493094308]
[9.373256138392858, 343.6565399169922, 345.82955496651783, 347.83227103097096, 349.73961966378346, 351.68784005301336, 353.60200064522877, 355.50934927804127]
[301.8242972237723, 303.9496285574777, 305.91828482491627, 290.6867436000279, 292.6349639892578, 294.71942356654574, 296.7425755092076, 298.57499258858815]
[814.7103445870534, 817.0536586216517, 819.0291268484932, 820.9637233189173, 824.4582584926061, 828.0822208949498, 830.3369794573102, 832.3396955217634]
[270.5982753208705, 272.8325980050223, 274.8285021100725, 276.8925258091518, 278.77943856375555, 280.7753426688058, 345.3186580113002, 347.71646772112166]
[149.99253409249442, 152.36990792410714, 136.6274697440011, 123.71199471609933, 139.45443289620536, 127.22696576799666, 158.45979963030135, 131.10978262765067]
[348.5747746058873, 351.3744899204799, 357.4303218296596, 359.9779946463449, 362.0897020612444, 364.02429853166853, 366.08832223074774, 367.94117518833707]

BLANCO

>>> %Run main.py
[188.16675458635603, 196.76344735281808, 209.13396562848772, 191.70216151646204, 211.24567304338728, 212.53313337053572, 213.79334586007252, 205.9119088309152]
[375.68637302943637, 209.31107657296315, 228.77284458705356, 368.2817731584821, 404.5077732631138, 391.0541534423828, 407.825197492327, 394.31708199637274]
[96.74344744001115, 109.65892246791293, 73.28987121582031, 104.40008980887276, 75.86479187011719, 112.77198791503906, 114.17525155203683, 78.82799421037946]
[140.23099626813615, 157.1791512625558, 145.20372663225447, 171.57282148088728, 182.94879368373324, 105.57855878557478, 186.03461129324776, 188.00326756068637]
[115.59895106724329, 117.8332737513951, 119.88367353166853, 121.88638959612166, 123.85504586356026, 107.51315525599887, 109.85646929059709, 111.91368103027344]
[304.97823442731584, 306.88558306012834, 308.6090087890625, 293.7725612095424, 296.20443071637834, 297.9482923235212, 299.63084629603793, 301.2657165527344]
[260.74137006487166, 264.84898158482144, 267.13779994419644, 269.19501168387274, 271.10917227608815, 273.1663840157645, 275.1691000802176, 252.79862540108815]
[303.9360046386719, 306.19757516043524, 308.2275390625, 310.2030072893415, 292.31480189732144, 295.3733716692243, 297.51913888113836, 299.4809831891741]
[231.19790213448658, 234.1747283935547, 236.22512817382812, 238.34364754813055, 240.16925266810824, 242.199216570173, 244.05206952776228, 246.02753775460377]

EJEMPLO DE LECTURA DE SENSOR

Estados de los pines de salida de cada led
[1, 1, 1, 1, 1, 1, 1, 1]
[1, 1, 1, 1, 1, 1, 1, 1]
[1, 1, 1, 1, 1, 1, 1, 1]
[1, 1, 1, 1, 1, 1, 1, 1]
[1, 1, 1, 1, 1, 1, 1, 1]
[1, 1, 1, 1, 1, 1, 0, 1]
[1, 1, 1, 1, 1, 1, 0, 1]
[1, 1, 1, 1, 1, 1, 0, 1]
[1, 1, 1, 1, 1, 1, 0, 1]
[1, 1, 1, 1, 1, 1, 0, 1]
[1, 1, 1, 1, 1, 1, 0, 1]
[1, 1, 1, 1, 1, 1, 0, 1]
[1, 1, 1, 1, 1, 1, 0, 1]
[1, 1, 1, 1, 1, 1, 1, 1]
[1, 1, 1, 1, 1, 1, 1, 1]
[0, 1, 1, 1, 1, 1, 1, 1]
[0, 1, 1, 1, 1, 1, 1, 1]
[0, 1, 1, 1, 1, 1, 1, 1]
[0, 1, 1, 1, 1, 1, 1, 1]
[0, 1, 1, 1, 0, 1, 1, 1]
[0, 1, 1, 1, 0, 0, 1, 1]
[0, 1, 1, 1, 0, 0, 1, 1]
[0, 1, 1, 1, 0, 0, 1, 1]
[0, 1, 1, 1, 0, 0, 1, 1]
[0, 0, 1, 1, 0, 0, 1, 1]
[0, 0, 0, 1, 0, 0, 1, 1]
[0, 0, 0, 0, 0, 0, 1, 1]
[0, 0, 0, 0, 1, 0, 1, 1]
[0, 0, 0, 0, 1, 1, 1, 1]
[0, 0, 0, 0, 1, 1, 1, 1]
[0, 0, 0, 0, 1, 1, 1, 1]
[0, 0, 0, 0, 1, 1, 1, 1]
[0, 1, 0, 0, 1, 1, 1, 1]
[0, 1, 0, 0, 1, 1, 1, 1]
[0, 1, 0, 0, 1, 1, 1, 1]
[0, 1, 0, 0, 1, 1, 1, 1]
[0, 1, 0, 0, 1, 1, 1, 1]
[0, 1, 0, 0, 1, 1, 0, 1]
[0, 1, 0, 0, 1, 1, 0, 1]
[0, 1, 0, 0, 1, 1, 0, 1]
[0, 1, 0, 0, 1, 1, 0, 1]
[0, 1, 0, 0, 1, 1, 0, 1]
[0, 1, 0, 1, 1, 1, 0, 1]
[0, 1, 0, 1, 1, 1, 0, 1]
[0, 1, 0, 1, 1, 1, 0, 1]
[0, 1, 0, 1, 1, 1, 0, 1]
[0, 1, 0, 1, 1, 1, 0, 1]
[1, 1, 0, 1, 1, 1, 0, 1]
[1, 1, 0, 1, 1, 1, 0, 1]
[1, 1, 1, 1, 1, 1, 0, 1]
[1, 1, 1, 0, 1, 1, 0, 1]
[1, 1, 1, 0, 0, 1, 0, 1]
[1, 1, 1, 0, 0, 0, 0, 1]
[1, 1, 1, 0, 0, 0, 0, 1]
[1, 1, 1, 0, 0, 0, 0, 1]
[1, 1, 1, 0, 0, 0, 0, 1]
[1, 0, 1, 0, 0, 0, 0, 1]
[1, 0, 0, 0, 0, 0, 0, 1]
[1, 0, 0, 1, 0, 0, 0, 1]
[1, 0, 0, 1, 1, 0, 0, 1]
[1, 0, 0, 1, 1, 0, 0, 1]
[1, 0, 0, 1, 1, 0, 1, 1]
[1, 0, 0, 1, 1, 0, 1, 0]
[1, 0, 0, 1, 1, 0, 1, 0]
[1, 1, 0, 1, 1, 0, 1, 0]
[1, 1, 1, 1, 1, 0, 1, 0]
[1, 1, 1, 0, 1, 0, 1, 0]
[1, 1, 1, 0, 1, 0, 1, 0]
[1, 1, 1, 0, 1, 1, 1, 0]
[1, 1, 1, 0, 1, 1, 0, 0]
[1, 1, 1, 0, 1, 1, 0, 1]
[1, 1, 1, 0, 1, 1, 0, 1]
[1, 1, 1, 0, 1, 1, 0, 1]
[1, 1, 0, 0, 1, 1, 0, 1]
[1, 1, 0, 1, 1, 1, 0, 1]
[1, 1, 0, 1, 1, 1, 0, 1]
[1, 1, 0, 1, 1, 1, 0, 1]
[1, 1, 0, 1, 1, 1, 0, 1]
[1, 1, 0, 1, 1, 1, 0, 0]
[1, 1, 0, 1, 1, 1, 0, 0]
[1, 1, 0, 1, 1, 1, 0, 0]
[1, 1, 1, 1, 1, 1, 0, 0]
[1, 1, 1, 1, 1, 1, 0, 0]
[1, 1, 1, 1, 0, 1, 0, 0]
[1, 1, 1, 1, 0, 1, 0, 0]
[1, 1, 1, 1, 0, 1, 1, 0]
[1, 1, 1, 1, 0, 1, 1, 1]
[1, 1, 1, 1, 0, 1, 1, 1]
[1, 1, 1, 1, 0, 1, 1, 1]
[1, 1, 1, 1, 0, 1, 1, 1]
[1, 1, 1, 1, 0, 1, 1, 1]
[1, 1, 1, 1, 1, 1, 1, 1]
[1, 1, 1, 1, 1, 1, 1, 1]
[1, 1, 1, 1, 1, 1, 1, 1]
[1, 1, 1, 1, 1, 1, 1, 0]
[1, 1, 1, 1, 1, 1, 1, 0]
[1, 1, 1, 1, 1, 1, 1, 0]
[1, 1, 0, 1, 1, 1, 1, 0]
[1, 1, 0, 1, 1, 1, 1, 0]
[1, 1, 0, 1, 1, 1, 1, 0]
[1, 1, 0, 1, 1, 1, 1, 0]
[1, 1, 0, 1, 1, 1, 0, 0]
[1, 1, 0, 1, 1, 1, 0, 1]
[1, 1, 0, 1, 1, 1, 0, 1]
[1, 1, 0, 1, 1, 1, 0, 1]
[1, 1, 1, 1, 1, 1, 0, 1]
[1, 1, 1, 1, 1, 1, 0, 1]
[1, 1, 1, 1, 1, 1, 0, 1]
[1, 1, 1, 1, 1, 1, 0, 1]
[1, 1, 1, 1, 1, 1, 0, 1]
[1, 1, 1, 1, 1, 1, 0, 0]
[1, 1, 1, 1, 1, 1, 0, 0]
[1, 0, 1, 1, 1, 1, 0, 0]
[1, 0, 1, 1, 1, 1, 0, 0]
[1, 0, 1, 1, 1, 1, 0, 0]
[1, 0, 1, 1, 1, 1, 0, 0]
[1, 0, 1, 1, 1, 1, 0, 0]
[1, 0, 1, 1, 1, 1, 0, 0]
[1, 0, 1, 1, 1, 1, 0, 1]
[1, 0, 1, 1, 1, 1, 0, 1]
[1, 0, 1, 1, 1, 1, 0, 1]
[1, 0, 1, 1, 1, 1, 0, 1]
[1, 0, 1, 1, 1, 1, 0, 1]
[1, 0, 1, 1, 1, 1, 0, 1]
[1, 0, 1, 1, 1, 1, 0, 1]
[1, 0, 1, 1, 1, 1, 1, 1]
[1, 0, 1, 1, 1, 1, 1, 1]
[1, 0, 1, 1, 1, 1, 1, 1]
[1, 0, 1, 1, 1, 1, 1, 1]
[1, 0, 1, 1, 1, 1, 1, 1]
[1, 0, 1, 1, 1, 1, 1, 1]
[1, 0, 1, 1, 1, 1, 1, 1]
[1, 0, 1, 1, 1, 1, 1, 1]
[1, 0, 1, 1, 1, 1, 1, 1]
[1, 0, 1, 1, 1, 1, 1, 1]
[1, 0, 1, 1, 1, 1, 1, 1]
[1, 0, 1, 1, 1, 1, 1, 1]
[1, 0, 0, 1, 1, 1, 1, 1]
[1, 0, 0, 1, 1, 1, 1, 1]
[1, 0, 0, 1, 0, 1, 1, 1]
[1, 0, 0, 1, 0, 0, 1, 1]
[1, 0, 0, 1, 0, 0, 1, 1]
[1, 0, 0, 1, 0, 0, 1, 1]
[1, 0, 0, 1, 0, 0, 1, 1]
[1, 0, 0, 1, 0, 0, 1, 1]
[1, 0, 1, 1, 0, 0, 1, 1]
[1, 0, 1, 1, 0, 0, 1, 1]
[1, 0, 1, 1, 1, 0, 1, 1]
[1, 0, 1, 1, 1, 1, 1, 1]
[1, 0, 1, 1, 1, 1, 1, 1]
[1, 0, 1, 1, 1, 1, 1, 1]
[1, 0, 1, 1, 1, 1, 1, 1]
[1, 1, 1, 1, 1, 1, 1, 1]
[1, 1, 1, 1, 1, 1, 1, 1]
[1, 1, 1, 1, 1, 1, 1, 1]
[1, 1, 1, 1, 1, 1, 1, 1]
[1, 1, 1, 1, 1, 1, 1, 1]
[1, 1, 1, 1, 1, 1, 0, 1]
[1, 1, 1, 1, 1, 1, 0, 1]
[0, 1, 1, 1, 1, 1, 0, 1]
[0, 0, 1, 1, 1, 1, 0, 1]
[0, 0, 0, 1, 1, 1, 0, 1]
[0, 0, 0, 1, 1, 1, 0, 1]
[0, 0, 0, 1, 1, 1, 0, 1]
[0, 0, 0, 1, 1, 1, 0, 1]
[0, 0, 0, 1, 1, 1, 1, 1]
[0, 0, 0, 1, 1, 1, 1, 1]
[0, 0, 0, 1, 1, 1, 1, 1]
[0, 0, 0, 1, 1, 1, 1, 1]
[0, 0, 0, 1, 1, 1, 1, 1]
[0, 0, 0, 1, 1, 1, 1, 1]
[0, 0, 0, 1, 1, 1, 1, 1]
[0, 0, 0, 1, 1, 1, 1, 1]
[0, 0, 0, 1, 1, 1, 0, 1]
[0, 0, 0, 1, 1, 1, 0, 0]
[1, 0, 0, 1, 1, 1, 0, 0]
[1, 1, 0, 1, 1, 1, 0, 0]
[1, 1, 1, 1, 1, 1, 0, 0]
[1, 1, 1, 1, 1, 1, 0, 0]
[1, 1, 1, 1, 1, 1, 0, 0]
[1, 1, 1, 1, 1, 1, 0, 0]
[1, 1, 1, 1, 1, 1, 1, 0]
[1, 1, 1, 1, 1, 1, 1, 1]
[1, 1, 1, 1, 1, 1, 1, 1]
[1, 1, 1, 1, 1, 1, 1, 1]
[1, 1, 1, 1, 1, 1, 1, 1]
[1, 1, 1, 1, 1, 1, 1, 1]
[1, 1, 1, 1, 1, 1, 1, 1]
[1, 1, 1, 1, 1, 1, 1, 1]
[1, 1, 1, 1, 1, 1, 1, 1]
[1, 1, 1, 1, 1, 1, 1, 0]
[1, 1, 1, 1, 1, 1, 1, 0]
[1, 0, 1, 1, 1, 1, 1, 0]
[1, 0, 0, 1, 1, 1, 1, 0]
[1, 0, 0, 0, 1, 1, 1, 0]
[1, 0, 0, 0, 1, 1, 1, 0]
[1, 0, 0, 0, 1, 1, 1, 0]
[1, 0, 0, 0, 1, 1, 1, 0]
[1, 0, 0, 0, 1, 1, 1, 1]

Salida del sensor
[31779.58215985979, 27698.169435773576, 32312.890461512972, 32365.23355756487, 24886.253901890344, 10224.369594029018, 31655.522755214144, 31726.38075692313]
